"ID","ID_1","EMAIL_HASH","C","VALUE","CASE_STATUS"
3156186,4184249,"/Zd5dlFfwiEDeiZHfLAhzQ==",2,"Closed","Updated"
3156186,4184328,"/Zd5dlFfwiEDeiZHfLAhzQ==",2,"Closed","Updated"
3166488,4189837,"/q16CyujOeqlNmxkWylXRg==",2,"Open","Updated"
3166488,4189853,"/q16CyujOeqlNmxkWylXRg==",2,"Open","Updated"
3177119,4186125,"/uBayBWw6DirM8K0tnSfdA==",2,"Closed","Updated"
3177119,4186618,"/uBayBWw6DirM8K0tnSfdA==",2,"Closed","Updated"
3181424,4183718,"038THOXcdbsZz5f+67DN5Q==",2,"Closed","Updated"
3181424,4183719,"038THOXcdbsZz5f+67DN5Q==",2,"Closed","Updated"
3161137,4190831,"0Rj09rcb7krZ5ELRXupe7w==",3,"Closed","Updated"
3161137,4190882,"0Rj09rcb7krZ5ELRXupe7w==",3,"Closed","Updated"
3161137,4190954,"0Rj09rcb7krZ5ELRXupe7w==",3,"Closed","Updated"
3168366,4189004,"0xug4r+Vnh4WIYPV5P58Pw==",2,"Open","Updated"
3168366,4189039,"0xug4r+Vnh4WIYPV5P58Pw==",2,"Open","Updated"
3184040,4187152,"1/ALCmi/BSGUSl5qhGfRcQ==",3,"Closed","Updated"
3184040,4187159,"1/ALCmi/BSGUSl5qhGfRcQ==",3,"Closed","Updated"
3184040,4187170,"1/ALCmi/BSGUSl5qhGfRcQ==",3,"Closed","Updated"
3202163,4190247,"12JgUYtWZnG21TbOL/ivxA==",2,"Closed","Updated"
3202163,4190350,"12JgUYtWZnG21TbOL/ivxA==",2,"Closed","Updated"
3161544,4184134,"1FvBvSSDRiiGwE35HwQ8Rg==",2,"Closed","Updated"
3161544,4184155,"1FvBvSSDRiiGwE35HwQ8Rg==",2,"Closed","Updated"
3192613,4184326,"1Jaao5t4+D81wB7lKWehNw==",2,"Closed","Updated"
3192613,4184342,"1Jaao5t4+D81wB7lKWehNw==",2,"Closed","Updated"
3180227,4190642,"1WZnDXGZY9E3croD7I5H4A==",2,"Closed","Updated"
3180227,4190667,"1WZnDXGZY9E3croD7I5H4A==",2,"Closed","Updated"
3188192,4184265,"1ek8FFuJbFgIfq5kLtXEzw==",3,"Closed","Updated"
3188192,4184276,"1ek8FFuJbFgIfq5kLtXEzw==",3,"Closed","Updated"
3188192,4184290,"1ek8FFuJbFgIfq5kLtXEzw==",3,"Closed","Updated"
3196150,4187236,"2FC4Fta2QD/HHAf41aJxjQ==",2,"Closed","Updated"
3196150,4187240,"2FC4Fta2QD/HHAf41aJxjQ==",2,"Closed","Updated"
3194794,4187093,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187302,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187393,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187610,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187771,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187788,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3194794,4187898,"2K4nndhRYIfw48K2t0f++Q==",7,"Closed","Updated"
3158138,4185535,"2Lbwt43qLH5xLXISKMIYNQ==",3,"Closed","Updated"
3158138,4185589,"2Lbwt43qLH5xLXISKMIYNQ==",3,"Closed","Updated"
3158138,4185593,"2Lbwt43qLH5xLXISKMIYNQ==",3,"Closed","Updated"
3159094,4187294,"2Lbxy124loqCDwoaAu/XSQ==",4,"Open","Updated"
3159094,4187445,"2Lbxy124loqCDwoaAu/XSQ==",4,"Open","Updated"
3159094,4187636,"2Lbxy124loqCDwoaAu/XSQ==",4,"Open","Updated"
3159094,4187749,"2Lbxy124loqCDwoaAu/XSQ==",4,"Open","Updated"
3195038,4190509,"2QkRwFmTMHayvQIaMts+Aw==",2,"Closed","Updated"
3195038,4190578,"2QkRwFmTMHayvQIaMts+Aw==",2,"Closed","Updated"
3180108,4184343,"2YgR8ve6JE14lzzVXGT3yg==",3,"Closed","Updated"
3180108,4184370,"2YgR8ve6JE14lzzVXGT3yg==",3,"Closed","Updated"
3180108,4184406,"2YgR8ve6JE14lzzVXGT3yg==",3,"Closed","Updated"
3186366,4184858,"2bOB0RdeFpcNA21ILTS+UQ==",4,"Closed","Updated"
3186366,4184916,"2bOB0RdeFpcNA21ILTS+UQ==",4,"Closed","Updated"
3186366,4184937,"2bOB0RdeFpcNA21ILTS+UQ==",4,"Closed","Updated"
3186366,4184949,"2bOB0RdeFpcNA21ILTS+UQ==",4,"Closed","Updated"
3161091,4188044,"2kxlwn1w0yyj1o6rX3ivJA==",2,"Open","Updated"
3161091,4188071,"2kxlwn1w0yyj1o6rX3ivJA==",2,"Open","Updated"
3053393,4190019,"2npWKpF2qPV0RjKIJw2McA==",2,"Closed","Updated"
3053393,4190026,"2npWKpF2qPV0RjKIJw2McA==",2,"Closed","Updated"
3180210,4183674,"2q2XYoByCOuSjyTV5PJxjg==",3,"Closed","Updated"
3180210,4183675,"2q2XYoByCOuSjyTV5PJxjg==",3,"Closed","Updated"
3180210,4183678,"2q2XYoByCOuSjyTV5PJxjg==",3,"Closed","Updated"
3175520,4189436,"2uX9wSUkDivlStLgBM9vPg==",3,"Open","Updated"
